"name","census_count"
"francis",78327
"griffith",78260
"paul",78256
"blair",78026
"oconnor",77923
"cardenas",77652
"pacheco",77642
"cross",77557
"calderon",77085
"quinn",76986
"moss",76908
"swanson",76897
"chan",76664
"rivas",76205
"khan",76171
"rodgers",76095
"serrano",75996
"fitzgerald",75356
"rosales",75185
"stevenson",75169
"christensen",75143
"manning",74949
"gill",74948
"curry",74919
"mclaughlin",74816
"harmon",74737
"mcgee",74542
"gross",74503
"doyle",74458
"garner",74324
"newton",74092
"burgess",73931
"reese",73919
"walton",73854
"blake",73797
"trujillo",73664
"adkins",73599
"brady",73145
"goodman",73136
"roman",72918
"webster",72625
"goodwin",72451
"fischer",72357
"huang",72328
"potter",72175
"delacruz",72109
"montoya",71844
"todd",71759
"wu",71721
"hines",71717
"mullins",71646
"castaneda",71368
"malone",71286
"cannon",71085
"tate",71058
"mack",71056
"sherman",70502
"hubbard",70362
"hodges",70223
"zhang",70125
"guerra",70071
"wolf",70031
"valencia",70000
"saunders",69943
"franco",69943
"rowe",69879
"gallagher",69834
"farmer",69617
"hammond",69515
"hampton",69472
"townsend",69360
"ingram",69345
"wise",68649
"gallegos",68373
"clarke",68281
"barton",68233
"schroeder",67977
"maxwell",67961
"waters",67929
"logan",67909
"camacho",67893
"strickland",67769
"norman",67704
"person",67411
"colon",67338
"parsons",67310
"frank",67304
"harrington",66959
"glover",66858
"osborne",66827
"buchanan",66648
"casey",66556
"floyd",66454
"patton",66293
"ibarra",66063
"ball",66059
"tyler",66056
"suarez",66013
"bowers",66003
"orozco",65904
"salas",65468
"cobb",65125
"gibbs",65064
"andrade",65037
"bauer",65004
"conner",64572
"moody",64429
"escobar",64403
"mcguire",64327
"lloyd",64202
"mueller",64191
"hartman",64106
"french",63991
"kramer",63936
"mcbride",63899
"pope",63881
"lindsey",63760
"velazquez",63736
"norton",63722
"mccormick",63649
"sparks",63440
"flynn",63400
"yates",63254
"hogan",63085
"marsh",62304
"macias",62227
"villanueva",61883
"zamora",61729
"pratt",61671
"stokes",61639
"owen",61630
"ballard",61625
"lang",61529
"brock",61369
"villarreal",61355
"charles",61211
"drake",61162
"barrera",60998
"cain",60948
"patrick",60845
"pineda",60820
"burnett",60791
"mercado",60761
"santana",60667
"shepherd",60479
"bautista",60264
"ali",60002
"shaffer",59943
"lamb",59913
"trevino",59882
"mckenzie",59595
"hess",59486
"beil",59463
"olsen",59356
"cochran",59350
"morton",59213
"nash",58714
"wilkins",58634
"petersen",58480
"briggs",58408
"shah",58287
"roth",58278
"nicholson",58151
"holloway",58040
"lozano",57779
"rangel",57549
"flowers",57549
"hoover",57497
"short",57477
"arias",57477
"mora",57464
"valenzuela",57383
"bryan",57143
"meyers",57127
"weiss",57112
"underwood",57064
"bass",57044
"greer",57043
"summers",56953
"houston",56900
"carson",56872
"morrow",56840
"clayton",56638
"whitaker",56616
"decker",56576
"yoder",56410
"collier",56380
"zuniga",56347
"carey",56322
"wilcox",56286
"melendez",56230
"poole",56226
"roberson",56180
"larsen",55960
"conley",55917
"davenport",55895
"copeland",55850
"massey",55595
"lam",55554
"huff",55484
"rocha",55251
"cameron",55240
"jefferson",55179
"hood",55174
"monroe",55136
"anthony",55114
"pittman",55021
"huynh",54996
"randall",54764
"singleton",54621
"kirk",54394
"combs",54257
"mathis",54217
"christian",54198
"skinner",54046
"bradford",54015
"richard",53893
"galvan",53822
"wall",53794
"boone",53792
"kirby",53767
"wilkinson",53739
"bridges",53682
"bruce",53419
"atkinson",53376
"velez",53265
"meza",53230
"roy",53159
"vincent",53095
"york",53059
"hodge",52920
"villa",52817
"abbott",52739
"allison",52701
"tapia",52651
"gates",52569
"chase",52481
"sosa",52457
"sweeney",52410
"farrell",52321
"wyatt",52211
"dalton",52184
"horn",52138
"barron",52070
"phelps",52044
"yu",52035
"dickerson",51889
"heath",51877
"foley",51865
"atkins",51671
"mathews",51592
"bonilla",51475
"acevedo",51351
"benitez",51288
"zavala",51153
"hensley",51081
