"name","census_count"
"dona",7346
"fay",6015
"ruthie",5936
"nelda",5493
"katharine",19190
"rena",14607
"teri",40834
"jeanie",10662
"kaye",6475
"nanette",13587
"isabel",18046
"reba",7818
"karin",23176
"nona",4325
"kristin",148855
"mable",4112
"tanya",102581
"alison",70244
"jerry",311286
"jolene",21187
"lila",8083
"eugenia",10596
"inez",7331
"coleen",9271
"rosalyn",10229
"sonja",27037
"debora",26947
"earlene",4326
"gracie",7588
"shelly",80609
"robyn",52006
"sonia",44660
"maryanne",7496
"carlene",7585
"muriel",4867
"janine",28584
"robbie",26301
"dee",13521
"ladonna",15704
"terrie",17877
"cathryn",8317
"crystal",257959
"jeannine",14681
"yvette",49296
"ronda",31938
"marva",4795
"rae",9794
"sadie",9026
"essie",3933
"antonia",14383
"heather",449627
"althea",6455
"dorothea",6623
"blanche",4473
"jana",35605
"lorene",7073
"meredith",44695
"ollie",6453
"ava",9515
"winifred",4675
"jewel",7930
"christie",40166
"rosalinda",9430
"merry",5972
"nettie",3825
"lenore",6106
"etta",4659
"beulah",2920
"bernadine",5229
"eula",3497
"kim",206397
"beverley",3804
"kristina",99311
"lavonne",5648
"rhoda",6312
"jimmie",39521
"janelle",30747
"roseanna",3348
"candy",23468
"roslyn",7518
"ora",4731
"angelina",21869
"ina",4623
"lela",5868
"marietta",4459
"clare",8947
"dolly",5390
"jeanine",18666
"marylou",4812
"lynnette",12328
"maryellen",7498
"elena",20556
"georgette",6926
"pearlie",3048
"sharlene",7732
"tommie",16969
"willa",3713
"francis",80913
"jannie",3707
"lesley",25509
"daphne",17512
"delois",3607
"harriett",3448
"james",2373179
"lupe",7963
"suzan",6612
"dinah",6041
"madelyn",5460
"shelby",30179
"cherry",6357
"heidi",114378
"nola",4273
"josie",9693
"nita",6617
"addie",4563
"angie",36671
"earline",3241
"johanna",20289
"nikki",28172
"queen",2996
"clarice",5177
"leola",3088
"lizzie",3461
"sharyn",3029
"cathie",4088
"julianne",15088
"estelle",4086
"gayla",8865
"jacque",4701
"gilda",3749
"sherrill",4290
"dorthy",3189
"alexis",50397
"consuelo",6463
"elvira",6655
"pam",29650
"fern",3711
"mabel",4430
"roseanne",4750
"kitty",5030
"bridget",57688
"elva",5702
"mari",9916
"patrica",6374
"malinda",13042
"ana",41454
"arleen",4663
"rene",45704
"karon",4582
"edwina",6069
"jewell",4650
"marcy",18860
"melva",3846
"chris",134654
"rosanna",8792
"helena",8831
"suzette",13133
"aurora",7669
"ola",2527
"mollie",9664
"valorie",5915
"cheryle",3907
"debby",8610
"lottie",3285
"mickey",19739
"eddie",101064
"mavis",3242
"barbra",5217
"iva",3930
"roxie",4491
"sybil",4718
"alyce",3601
"lucia",11295
"corrine",7769
"sonya",54507
"cornelia",4380
"karyn",11697
"opal",3872
"dena",25494
"ronnie",120696
"nan",3414
"robert",2238751
"valarie",14580
"joe",162331
"sydney",12444
"colette",12844
"karol",4972
"randy",286856
"alfreda",5330
"jerri",13161
"cecile",3485
"katrina",71914
"leanne",21926
"blanca",14987
"kathrine",8227
"benita",9389
"portia",6029
"jacalyn",4158
"randi",21961
"retha",2878
"charleen",3607
"freddie",35110
"elisabeth",19817
"elise",18768
"lori",333761
"effie",3192
"juana",7118
"madeleine",4242
"gina",131514
"josefina",5539
"pamala",6226
"margery",2629
"may",5175
"millie",4466
"alana",14481
"aleta",3689
"celestine",3434
"cinda",3252
"carmela",6157
"elnora",2438
"lyn",6160
"frieda",2739
"loraine",4807
"marlys",2029
"peggie",2452
"dian",2619
"john",2273514
"madonna",4536
"carlotta",3336
"freida",3128
"maryjane",3178
"mercedes",11683
"michael",3123645
"katheryn",5709
"tracy",293690
"ester",4436
"alta",2601
"judi",5837
"valeria",7383
"caryn",10678
"ophelia",2826
"caren",7360
"darleen",3738
"dollie",2487
"roxann",7730
"sherryl",2924
"leigh",38117
"leila",7223
"reva",4082
"esperanza",5516
"kristi",70030
"louella",2002
"caryl",2557
"reta",2221
"daryl",50840
"hannah",50529
"leanna",9832
"aileen",8628
"letha",4156
"sharman",873
"dottie",3557
"ivy",11416
"kathi",9240
"shirlene",2848
"virgie",2257
"carmella",4515
"jacklyn",7920
"janell",10424
"kristen",157959
"nanci",4351
"allison",126104
"angeline",5852
"annmarie",12420
"cleo",4494
"nell",2231
"vickey",5118
"gaye",3635
"leann",18241
"camilla",5445
"charles",922403
"doretha",3557
"felicia",69695
"neva",3637
"elsa",10143
"gerry",11167
"debrah",3981
"tonya",115706
"charmaine",10917
"deanne",11891
"imogene",1630
"deidre",12284
"ruthann",2850
"avis",4981
"lea",16440
"roxanna",7619
"sharen",1992
"twila",5400
"oralia",2738
"susanna",9199
"vikki",5770
"beryl",2094
"deirdre",13946
"goldie",3016
"marilee",3780
"denice",9195
"minerva",5455
"elma",2353
"greta",9500
"carleen",4056
"catharine",4025
"merle",7657
"vonda",7069
"luann",13767
"matilda",3169
"carolann",2464
"luanne",7013
"vernell",3804
"lilly",4001
"louisa",4993
"mariann",4172
"nedra",3293
"corliss",1852
"georgianna",2460
"ingrid",13981
"jocelyn",21177
"leta",3016
"lorena",18451
"odessa",2856
"evangeline",4029
"elouise",1382
"lily",6893
"clementine",1365
"david",2376340
"lucretia",5343
"dorene",4761
"erlinda",2175
"ila",2072
"kathaleen",2074
"laureen",5698
"angelita",5576
"concetta",2782
"delilah",5941
"lonnie",52130
"margret",2804
"rosella",1965
"tana",6875
"carroll",9886
"petra",4440
"cassie",24286
"lona",2926
"winnie",2532
"bobby",156539
"lauretta",2337
"sanjuanita",2763
"callie",10108
"darcy",18807
"georgina",7852
"deena",10695
"luella",1806
"marina",12965
"mindy",37130
"marleen",1980
"william",1576093
"manuela",2746
"ronna",3444
"shauna",22745
"charla",6202
"glinda",1761
"maryjo",4916
"meryl",2863
"suellen",1854
"joellen",3732
"nannette",4461
"wilhelmina",1740
"adela",3672
"graciela",8025
"jacquline",5873
"justine",19183
"bennie",17808
"eliza",7019
"zelma",1655
"kathlene",2379
"winona",2540
"corine",3121
"georgene",1300
"judie",1686
"libby",5854
"pattie",4390
"florine",1350
"kristie",34514
"letitia",7607
"wilda",1672
"alexandra",55536
"bethany",50225
"cathrine",3755
"deana",19281
"elida",3010
"erica",160083
"shawn",262723
"lindsay",90382
"rosario",7061
"sophie",4846
"suzann",2763
"elisa",22360
"jacquelin",4009
"jonnie",2996
"rosita",3600
"ardith",914
"maribeth",4484
"ofelia",3241
"renae",10810
"susann",1857
"mickie",2749
"adeline",2327
"george",411700
"treva",4257
"abigail",35300
"jerrie",2927
"krista",54080
"lelia",2489
"rachelle",25120
"rhea",4744
"rona",3379
"annetta",3399
"danna",6611
"dina",23611
"marcie",13387
"martina",8709
"raquel",26531
"toby",23560
"estela",3723
"evangelina",3417
"hilary",18947
"janna",11132
"kristy",62788
"leticia",31303
"pansy",1549
"rosalee",1935
"sophia",23076
"bonny",4323
"carolynn",2900
"eve",8850
"kate",23463
"linnea",3424
"marybeth",8159
"aida",6099
"elyse",7708
"larry",448173
"cathey",1800
"claudine",4563
"donita",4167
"harriette",1115
"juliana",9727
"karan",2689
"sanjuana",1318
"nicki",4881
"sherilyn",2735
"twyla",4047
"carolina",11202
"delphine",3150
"kris",24277
"lorrie",16327
"theodora",2658
"charlie",40106
"herlinda",2112
"isabelle",3175
"selma",2283
"adrian",71900
"kathlyn",1891
"kyle",226145
"lessie",1898
"lizabeth",3711
"millicent",3370
"tara",143454
"georgiana",1970
"hester",1532
"mitzi",10105
"nancie",1572
"zelda",2905
"annabelle",2412
"mimi",3898
"olive",1108
"phoebe",4637
"silvia",11452
"francisca",4795
"rebekah",34347
"rowena",3204
"sammie",9377
"terese",5130
"belva",1221
"fran",3568
"gearldine",941
"juliette",4647
"kelly",463613
"lorine",1548
